web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,adresse,type_habits,image_lien-src
"1740023614-58","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border8jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5181164","8 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023618-59","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border8jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5181262","21 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023623-60","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border8jours","https://sn.coinafrique.com/annonce/chaussures-homme/timberlands-homme-5181265","23 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5165856_uploaded_image1_1738522870.jpg"
"1740023627-61","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border8jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5181267","23 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023631-62","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border8jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5181270","22 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023635-63","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border7jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5183078","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023640-64","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border6jours","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-zara-5185077","10 000 CFA","Colobane, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_3360575_uploaded_image1_1633042694.jpg"
"1740023643-65","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border5jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5186288","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023649-66","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border5jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-fermees-5186396","12 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5186396_uploaded_image1_1739571589.jpg"
"1740023653-67","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border5jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5186400","18 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
